,,,,dev_acc,dev_acc,dev_bertscore_correct_normalized,dev_bertscore_correct_normalized,seed,seed
,,,,mean,std,mean,std,mean,std
task_name,model_type,io_format,n_shots,,,,,,
ecqa,allenai/unifiedqa-t5-base,unifiedqa_matching,48,40.65573770491803,2.256454560987544,33.05758336947171,1.8349449935678785,4672.819672131148,2919.8695934736015
ecqa,allenai/unifiedqa-t5-large,unifiedqa_matching,48,59.14285714285714,2.36297978607261,48.08487017864273,1.9190791605274342,4633.966666666666,2928.4209907198942
esnli,t5-base,standard,16,74.4204980842912,2.2635530475589354,61.98398502193877,1.8940594354324305,4633.966666666666,2928.4209907198947
esnli,t5-large,standard,16,86.64272030651341,1.8537576345426765,72.17561050678577,1.5389956354740475,4633.966666666666,2928.4209907198947
sbic,allenai/unifiedqa-t5-base,unified_qa_what_with_tags,24,0.44761904761904764,0.2967702181120549,0.3748029785496848,0.2476298756279761,4633.966666666666,2928.4209907198947
sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,0.27619047619047615,0.24998866187441313,0.23053153866813295,0.20832348978227266,4633.966666666666,2928.4209907198942
sensemaking,allenai/unifiedqa-t5-base,unifiedqa_what,24,0.0,0.0,0.0,0.0,4633.966666666666,2928.4209907198947
sensemaking,allenai/unifiedqa-t5-large,unifiedqa_what,24,32.2047619047619,2.2400751121193476,26.9618177876586,1.8830154380557655,4633.966666666666,2928.4209907198947
